title,TMDB_ID,bechdel_pass,budget,revenue,primary_genre,popularity,year,language,runtime,TMDB_rating,votes,spoken_language,logbudget,logrevenue
Black Widow,497698,pass,200000000,378328978,Action,576.472,2021,English Language,134,7.6,6094,en,19.11382792451231,19.751274687251133
The Conjuring: The Devil Made Me Do It,423108,fail,39000000,199166992,Horror,294.858,2021,English Language,111,7.7,3921,en,17.47907220409392,19.109654186573298
Cousins,31674,pass,13000000,22030000,Comedy,5.69,1989,English Language,109,6.1,40,en,16.38045991542581,16.907915718778526
Cruella,337404,pass,200000000,233274812,Comedy,595.89,2021,English Language,134,8.2,6033,en,19.11382792451231,19.26772776716827
Dune,438631,pass,165000000,368077000,SciFi,1364.381,2021,English Language,155,8,4340,en,18.921456031864853,19.723802713376188
Escape Room: Tournament of Champions,585216,pass,15000000,44888959,Horror,140.904,2021,English Language,88,6.9,751,en,16.523560759066484,17.619702420469174
Free Guy,550988,fail,110000000,331096766,Comedy,1591.061,2021,English Language,115,7.8,3865,en,18.51599092375669,19.61792123502791
The Green Knight,559907,fail,15000000,18192220,Fantasy,120.346,2021,English Language,130,6.7,594,en,16.523560759066484,16.716504588127123
Gunpowder Milkshake,574060,pass,30000000,344931,Action,714.932,2021,English Language,114,6.5,389,en,17.216707939626428,12.75109967601083
In the Heights,467909,pass,55000000,43000000,Drama,28.941,2021,English Language,143,7.3,371,en,17.822843743196746,17.576710673657836
Jungle Cruise,451048,pass,200000000,217000000,Adventure,737.379,2021,English Language,127,7.7,3399,en,19.11382792451231,19.195407911504734
The Last Duel,617653,pass,100000000,27000000,Action,94.261,2021,English Language,153,7.7,432,en,18.420680743952367,17.111347423968603
The Little Things,602269,pass,30000000,23205000,Thriller,97.443,2021,English Language,128,6.4,1331,en,17.216707939626428,16.959878330657414
Luca,508943,fail,200000000,49010641,Animation,749.048,2021,English Language,95,8,5174,en,19.11382792451231,17.70754799576368
Malignant,619778,pass,40000000,24640084,Horror,232.334,2021,English Language,111,7,1056,en,17.50439001207821,17.019885105714692
The Marksman,634528,fail,23000000,22039969,Action,269.911,2021,English Language,108,7.1,982,en,16.951004773893423,16.908368135714422
Mortal Kombat,460465,fail,20000000,83601013,Action,499.203,2021,English Language,110,7.3,4077,en,16.811242831518264,18.2415661952064
Nobody,615457,fail,17000000,61779301,Action,225.36,2021,English Language,92,8.3,3691,en,16.64872390202049,17.93907893104949
Old,631843,pass,18000000,90112510,Thriller,372.309,2021,English Language,108,6.6,1745,en,16.70588231586044,18.31656955866736
Raya and the Last Dragon,527774,pass,100000000,130000000,Family,374.854,2021,English Language,107,8.1,4584,en,18.420680743952367,18.683045008419857
Reminiscence,579047,fail,68000000,18717947,SciFi,67.867,2021,English Language,116,7,890,en,18.03501826314038,16.74499335419624
Space Jam: A New Legacy,379686,pass,161900000,148810604,Animation,592.69,2021,English Language,115,7.3,2626,en,18.902489418647864,18.818184941265006
Spiral: From the Book of Saw,602734,pass,20000000,36544468,Horror,149.885,2021,English Language,93,6.3,967,en,16.811242831518264,17.414040378395676
The Suicide Squad,436969,pass,180000000,167381210,Action,632.843,2021,English Language,132,7.8,4860,en,19.008467408854486,18.9357844636025
Those Who Wish Me Dead,578701,fail,20000000,23384502,Thriller,128.854,2021,English Language,100,6.9,941,en,16.811242831518264,16.967584053212995
Titane,630240,fail,6600000,5115725,Drama,89.124,2021,Foreign Language,108,6.7,361,fr,15.702580206996654,15.447829687304152
Willy's Wonderland,643586,pass,5000000,431020,Action,123.786,2021,English Language,88,6.5,396,en,15.424948470398375,12.973909771721562
Zack Snyder's Justice League,791373,pass,70000000,657000000,Action,362.179,2021,English Language,242,8.4,6888,en,18.064005800013632,20.303194576448885
18 Presents,630220,pass,2500000,3486375,Drama,10.529,2020,Foreign Language,114,7.5,549,it,14.73180128983843,15.06437307242627
A Quiet Place Part II,520763,pass,61000000,297372261,SciFi,256.917,2021,English Language,97,7.7,3369,en,17.926384422137584,19.51049531595229
The Call,158011,pass,13000000,68572378,Crime,43.963,2013,English Language,94,6.8,2392,en,16.38045991542581,18.04340035854838
The Croods: A New Age,529203,pass,65000000,168285000,Animation,491.084,2020,English Language,95,7.6,2661,en,17.98989782785991,18.941169528629313
Fantasy Island,539537,pass,7000000,47078545,Horror,24.822,2020,English Language,109,6,1697,en,15.761420707019587,17.667327935035964
Freaky,551804,pass,5000000,15104310,Horror,35.429,2020,English Language,102,6.7,871,en,15.424948470398375,16.530490691521205
Honey Boy,512263,fail,3500000,3400977,Drama,13.928,2019,English Language,94,7.2,435,en,15.068273526459642,15.039573301249618
The Hunt,514847,pass,14000000,8621288,Action,43.667,2020,English Language,90,6.7,2062,en,16.454567887579532,15.969745051431422
The Invisible Man,570670,pass,7000000,130234661,Thriller,29.514,2020,English Language,124,7.2,4178,en,15.761420707019587,18.684848465827876
Jiu Jitsu,590706,fail,23000000,99924,Fantasy,193.198,2020,English Language,102,5.1,448,en,16.951004773893423,11.512165176023819
Like a Boss,526019,pass,29000000,26925979,Comedy,21.02,2020,English Language,83,6.4,525,en,17.182806387950748,17.10860214060569
Love and Monsters,590223,fail,30000000,1070714,Comedy,47.481,2020,English Language,109,7.4,2702,en,17.216707939626428,13.883836273618924
Mank,614560,fail,25000000,122252,Drama,15.525,2020,English Language,132,6.9,1096,en,17.034386382832476,11.713839767121497
Minari,615643,pass,2000000,12886100,Drama,21.864,2021,English Language,115,7.4,902,en,14.508657738524219,16.371659769010694
Monster Hunter,458576,pass,60000000,25814306,Action,283.55,2020,English Language,104,6.9,2269,en,17.909855120186375,17.066439392339706
Mulan,337401,pass,200000000,66800000,Adventure,200.764,2020,English Language,115,7,5280,en,19.11382792451231,18.017213638506874
