title,BT_score.1_is_Pass,TMDB_ID,budget,language,popularity,year,revenue,runtime,TMDB_rating,votes,primary_genre
Afterlife of the Party,1,785457,0,en,58.718,2021-09-02,0,109,6.9,275,Fantasy
Ajeeb Daastaans,1,802403,0,hi,9.996,2021-04-16,0,142,6.8,21,Drama
America: The Motion Picture,1,739542,0,en,104.98,2021-06-30,0,98,5.9,136,Action
Army of the Dead,1,503736,0,en,293.871,2021-05-14,780000,148,6.4,2607,Action
Black Widow,1,497698,200000000,en,576.472,2021-07-07,378328978,134,7.6,6094,Action
Cherry,0,544401,40000000,en,89.988,2021-02-26,0,140,7.5,802,Drama
Cinderella,1,593910,0,en,134.568,2021-09-03,0,113,6.7,915,Fantasy
CODA,1,776503,0,en,47.911,2021-08-11,0,112,8.3,285,Drama
Coming 2 America,1,484718,60000000,en,76.456,2021-03-05,0,110,6.7,1634,Comedy
The Conjuring: The Devil Made Me Do It,0,423108,39000000,en,294.858,2021-05-25,199166992,111,7.7,3921,Horror
Cousins,1,31674,13000000,en,5.69,1989-02-10,22030000,109,6.1,40,Comedy
Cruella,1,337404,200000000,en,595.89,2021-05-26,233274812,134,8.2,6033,Comedy
Drive My Car,1,758866,0,ja,10.879,2021-08-18,0,179,7.3,67,Drama
The Dry,1,567797,0,en,26.789,2021-01-01,17166067,117,6.9,199,Mystery
Dune,1,438631,165000000,en,1364.381,2021-09-15,368077000,155,8,4340,Science Fiction
Escape Room: Tournament of Champions,1,585216,15000000,en,140.904,2021-07-01,44888959,88,6.9,751,Horror
The Eyes of Tammy Faye,1,601470,0,en,10.941,2021-09-17,2404127,126,6.4,37,Drama
Fatherhood,1,607259,0,en,149.173,2021-06-18,0,109,7.7,877,Drama
Finding 'Ohana,1,644092,0,en,81.711,2021-01-29,0,123,6.5,277,Action
Free Guy,0,550988,110000000,en,1591.061,2021-08-11,331096766,115,7.8,3865,Comedy
Good on Paper,1,823461,0,en,18.836,2021-06-23,0,92,5.7,194,Comedy
The Green Knight,0,559907,15000000,en,120.346,2021-07-29,18192220,130,6.7,594,Fantasy
The Guilty,0,567748,0,en,75.753,2021-09-24,0,91,6.5,1157,Drama
Gunpowder Milkshake,1,574060,30000000,en,714.932,2021-07-14,344931,114,6.5,389,Action
High Ground,0,522466,0,en,5.783,2020-02-23,0,104,6.6,38,History
In the Heights,1,467909,55000000,en,28.941,2021-06-10,43000000,143,7.3,371,Drama
The Influencer,1,858258,0,en,2.788,2021-09-14,0,90,5.3,6,Comedy
Jungle Cruise,1,451048,200000000,en,737.379,2021-07-28,217000000,127,7.7,3399,Adventure
The Kissing Booth 3,1,727745,0,en,110.667,2021-08-11,0,112,7.3,1249,Romance
The Last Duel,1,617653,100000000,en,94.261,2021-10-13,27000000,153,7.7,432,Action
The Little Things,1,602269,30000000,en,97.443,2021-01-28,23205000,128,6.4,1331,Thriller
Luca,0,508943,200000000,en,749.048,2021-06-17,49010641,95,8,5174,Animation
Madame Claude,1,660006,0,fr,19.113,2021-04-02,0,112,5.8,147,Crime
Malignant,1,619778,40000000,en,232.334,2021-09-01,24640084,111,7,1056,Horror
The Many Saints of Newark,0,524369,0,en,358.069,2021-09-22,11620603,120,6.8,232,Drama
The Marksman,0,634528,23000000,en,269.911,2021-01-15,22039969,108,7.1,982,Action
The Mauritanian,1,644583,0,en,36.594,2021-02-10,0,129,7.5,567,Drama
Mortal Kombat,0,460465,20000000,en,499.203,2021-04-07,83601013,110,7.3,4077,Action
Moxie,1,583689,0,en,31.69,2021-03-03,0,111,7.5,568,Comedy
Night Teeth,0,669671,21700000,en,222.368,2021-10-20,0,107,6.7,345,Horror
No Sudden Move,1,649409,0,en,99.71,2021-06-24,0,115,6.4,292,Crime
Nobody,0,615457,17000000,en,225.36,2021-03-18,61779301,92,8.3,3691,Action
Old,1,631843,18000000,en,372.309,2021-07-21,90112510,108,6.6,1745,Thriller
Oxygen,1,18561,0,en,4.71,1999-11-12,0,92,6.2,55,Crime
Pig,0,635731,0,en,27.06,2021-07-16,2652024,91,6.7,389,Drama
Plan B,1,44282,0,es,27.855,2009-03-27,0,103,7.3,72,Comedy
Radhe,0,495930,0,en,2.401,2017-04-14,0,138,8,1,Action
Raya and the Last Dragon,1,527774,100000000,en,374.854,2021-03-03,130000000,107,8.1,4584,Family
Reminiscence,0,579047,68000000,en,67.867,2021-08-19,18717947,116,7,890,Science Fiction
Respect,1,592863,0,en,118.618,2021-08-12,31217372,145,6.8,118,Music
Secret Agent Dingledorf and His Trusty Dog Splat,0,841651,0,en,2.173,2021-07-02,0,89,6,2,Comedy
Sentinelle,1,793723,0,fr,117.748,2021-03-05,0,80,5.9,455,Thriller
Space Jam: A New Legacy,1,379686,161900000,en,592.69,2021-07-08,148810604,115,7.3,2626,Animation
Spiral: From the Book of Saw,1,602734,20000000,en,149.885,2021-05-12,36544468,93,6.3,967,Horror
Stowaway,1,559581,0,en,39.224,2021-06-24,0,117,5.9,144,Science Fiction
The Suicide Squad,1,436969,180000000,en,632.843,2021-07-28,167381210,132,7.8,4860,Action
Sweet Girl,1,619297,0,en,319.856,2021-08-18,0,110,6.9,728,Action
Sweetheart,1,463843,0,en,13.308,2019-01-28,0,82,6.4,217,Horror
Those Who Wish Me Dead,0,578701,20000000,en,128.854,2021-05-05,23384502,100,6.9,941,Thriller
Thunder Force,1,615678,0,en,111.232,2021-04-09,0,107,5.7,843,Action
Till Death,0,672741,0,en,41.288,2021-07-02,0,89,6.7,248,Horror
Titane,0,630240,6600000,fr,89.124,2021-07-14,5115725,108,6.7,361,Drama
To All the Boys: Always and Forever,1,614409,0,en,54.035,2021-02-12,0,115,7.8,1440,Romance
The Tomorrow War,0,588228,200000000,en,393.718,2021-07-02,0,138,8.1,4653,Action
The United States vs. Billie Holiday,1,566076,0,en,11.721,2021-03-31,0,131,6.8,139,Music
Us Again,0,779047,0,en,8.499,2021-03-03,0,7,8.1,193,Drama
Willy's Wonderland,1,643586,5000000,en,123.786,2021-02-12,431020,88,6.5,396,Action
Zack Snyder's Justice League,1,791373,70000000,en,362.179,2021-03-18,657000000,242,8.4,6888,Action
18 Presents,1,630220,2500000,it,10.529,2020-01-02,3486375,114,7.5,549,Drama
A Quiet Place Part II,1,520763,61000000,en,256.917,2021-05-21,297372261,97,7.7,3369,Science Fiction
All the Bright Places,1,342470,0,en,62.368,2020-02-28,0,108,7.7,2234,Romance
Ammonite,1,568467,0,en,17.613,2020-11-13,248516,118,7.1,290,Romance
An American Pickle,0,628917,0,en,15.336,2020-08-07,0,89,5.8,253,Comedy
Artemis Fowl,1,475430,125000000,en,39.527,2020-06-12,0,94,5.7,1276,Adventure
Bad Hair,1,530351,0,en,3.633,2021-05-05,0,102,5.4,13,Horror
Blow the Man Down,1,586451,0,en,9.39,2019-04-26,0,90,6.3,197,Drama
Borat Subsequent Moviefilm,1,740985,0,en,25.586,2020-10-23,0,96,6.5,1755,Comedy
Breach,0,651571,0,en,98.154,2020-12-17,39328,92,4.4,472,Science Fiction
The Call,1,158011,13000000,en,43.963,2013-03-14,68572378,94,6.8,2392,Crime
The Courier,1,522241,0,en,189.272,2021-03-18,24901420,112,7.2,488,Thriller
The Craft: Legacy,1,590995,0,en,88.025,2020-10-28,0,94,6.4,486,Horror
The Croods: A New Age,1,529203,65000000,en,491.084,2020-11-25,168285000,95,7.6,2661,Animation
Deep Blue Sea 3,0,703745,5000000,en,59.645,2020-08-25,0,100,6,183,Action
Emma.,1,556678,0,en,24.49,2020-02-13,25155355,125,7.1,1060,Comedy
Enola Holmes,1,497582,21000000,en,29.561,2020-09-23,0,123,7.4,4090,Mystery
Eurovision Song Contest: The Story of Fire Saga,1,531454,0,en,10.832,2020-06-26,0,123,6.5,976,Comedy
Extraction,1,545609,65000000,en,42.124,2020-04-24,0,116,7.4,4230,Drama
Fantasy Island,1,539537,7000000,en,24.822,2020-02-12,47078545,109,6,1697,Horror
Freaky,1,551804,5000000,en,35.429,2020-11-12,15104310,102,6.7,871,Horror
Friend of the World,1,437518,0,en,2.026,2020-08-15,0,50,5.3,3,Comedy
From Stress to Happiness,0,787377,0,en,1.619,2020-12-01,0,60,6.4,7,Documentary
Godmothered,1,662546,0,en,107.192,2020-12-04,0,113,7,428,Family
Greyhound,0,516486,50300000,en,30.385,2020-07-10,0,91,7.4,1969,War
The Half of It,1,597219,0,en,19.433,2020-05-01,0,104,7.2,1143,Comedy
Hamilton,1,556574,0,en,18.466,2020-07-03,0,160,8.4,853,History
Happiest Season,1,520172,0,en,31.037,2020-11-26,1401954,102,7.5,687,Romance
Herself,1,653708,0,en,4.715,2020-11-26,0,97,7.1,42,Drama
The High Note,1,606679,0,en,11.853,2020-06-10,0,113,7.1,306,Romance
Holidate,1,615665,0,en,34.2,2020-10-27,0,104,7.1,1496,Comedy
Honey Boy,0,512263,3500000,en,13.928,2019-11-08,3400977,94,7.2,435,Drama
Horse Girl,1,653601,0,en,14.86,2020-01-27,0,104,5.5,394,Drama
Host,1,723072,0,en,128.043,2020-12-04,26745,57,6.7,442,Horror
How to Be a Good Wife,1,575291,0,fr,9.057,2020-03-11,0,108,5.9,159,Comedy
The Hunt,1,514847,14000000,en,43.667,2020-03-11,8621288,90,6.7,2062,Action
I Care a Lot,1,601666,0,en,51.27,2020-09-12,0,119,6.7,1776,Comedy
I'm Your Woman,1,643612,0,en,8.263,2020-10-15,0,120,6,133,Crime
Infamous,1,703134,0,en,12.337,2020-06-12,0,100,5.9,116,Crime
The Invisible Man,1,570670,7000000,en,29.514,2020-02-26,130234661,124,7.2,4178,Thriller
Iskioma,0,744353,0,el,0.633,2020-09-25,0,15,0,0,Drama
Jiu Jitsu,0,590706,23000000,en,193.198,2020-11-20,99924,102,5.1,448,Fantasy
The King of Staten Island,1,579583,0,en,18.802,2020-07-22,0,137,7,545,Comedy
Legacy of Lies,1,601165,0,en,13.964,2020-07-28,0,101,5.6,174,Thriller
Like a Boss,1,526019,29000000,en,21.02,2020-01-09,26925979,83,6.4,525,Comedy
Lost Girls,1,567970,0,en,14.915,2020-01-28,0,95,6.1,524,Drama
The Lost Husband,1,686142,0,en,7.704,2020-04-10,0,109,7,87,Romance
Love and Monsters,0,590223,30000000,en,47.481,2020-10-16,1070714,109,7.4,2702,Comedy
Ludo,1,349138,0,bn,3.505,2015-07-17,0,90,2.9,34,Horror
Ma Rainey's Black Bottom,1,615667,0,en,14.898,2020-11-25,0,94,6.7,801,Drama
Mainstream,1,557950,5000000,en,36.837,2021-05-07,0,95,5.2,29,Comedy
Malmkrog,1,575448,0,ro,2.81,2020-07-08,0,200,6.7,14,History
Mank,0,614560,25000000,en,15.525,2020-11-13,122252,132,6.9,1096,Drama
Mariah Carey's Magical Christmas Special,1,766319,0,en,4.412,2020-12-04,0,43,6.3,35,Family
The Midnight Sky,1,614911,0,en,24.782,2020-12-10,0,118,5.8,1372,Science Fiction
Minari,1,615643,2000000,en,21.864,2021-02-12,12886100,115,7.4,902,Drama
Misbehaviour,1,567965,0,en,15.676,2020-03-12,1073290,107,6.4,171,Drama
Monster Hunter,1,458576,60000000,en,283.55,2020-12-03,25814306,104,6.9,2269,Action
Mulan,1,337401,200000000,en,200.764,2020-09-04,66800000,115,7,5280,Adventure
My Salinger Year,1,619594,0,en,19.989,2021-01-14,236653,101,6.3,59,Drama
My Spy,1,592834,0,en,23.029,2020-01-09,4418501,99,7,850,Family
Never Rarely Sometimes Always,1,595671,0,en,13.613,2020-03-13,407807,101,7.3,311,Drama
The New Mutants,1,340102,67000000,en,90.662,2020-08-26,45534613,94,6.3,2411,Horror
News of the World,1,581032,0,en,29.671,2020-12-25,0,118,7,1202,Adventure
Nomadland,1,581734,5000000,en,34.113,2021-01-29,14784114,108,7.3,1811,Drama
The Old Guard,1,547016,70000000,en,24.193,2020-07-10,0,125,7.2,3090,Action
One Night in Miami...,0,661914,0,en,11.148,2020-12-25,0,114,7.1,465,Drama
Onward,1,508439,200000000,en,68.262,2020-02-29,141592359,103,7.8,4676,Family
Over the Moon,1,560050,0,en,100.581,2020-10-16,0,100,7.4,987,Animation
Palm Springs,1,587792,0,en,19.905,2020-07-10,164000,90,7.3,1884,Comedy
Penguin Bloom,1,618416,0,en,40.04,2021-01-21,0,95,7.1,144,Drama
Pieces of a Woman,1,641662,0,en,16.268,2020-12-30,0,127,7.1,839,Drama
The Prom,1,611213,0,en,13.671,2020-12-02,0,132,6.3,515,Comedy
Promising Young Woman,1,582014,0,en,27.069,2020-12-13,13868965,114,7.6,1664,Thriller
Relic,1,539181,0,en,13.236,2020-07-03,2902552,89,6,460,Horror
The Retreat,0,821390,0,en,3.712,2021-05-21,0,82,5,15,Horror
The Rhythm Section,0,466622,50000000,en,18.641,2020-01-31,0,109,5.5,431,Action
Run Hide Fight,1,629017,2000000,en,20.85,2020-09-10,0,109,6.7,171,Action
Santana,0,734309,2600000,en,10.658,2020-08-28,0,106,5.7,170,Action
Scare Me,0,653643,0,en,6.902,2020-01-24,0,104,6.3,54,Comedy
Shadow in the Cloud,0,675327,0,en,80.641,2021-01-01,0,83,5.9,489,Horror
Shirley,1,547017,0,en,12.566,2020-09-11,230441,107,6.5,95,Drama
Slaxx,1,605133,0,en,8.449,2020-09-11,0,73,5.8,85,Comedy
